x m_star m_num
5.600000e-01 4.316965e-01 4.215036e-01
5.800000e-01 4.171821e-01 4.075965e-01
6.000000e-01 4.026722e-01 3.936947e-01
6.200000e-01 3.882009e-01 3.798302e-01
6.400000e-01 3.738007e-01 3.660332e-01
6.600000e-01 3.595031e-01 3.523331e-01
6.800000e-01 3.453377e-01 3.387573e-01
7.000000e-01 3.313327e-01 3.253320e-01
7.200000e-01 3.175143e-01 3.120817e-01
7.400000e-01 3.039074e-01 2.990292e-01
7.600000e-01 2.905347e-01 2.861958e-01
7.800000e-01 2.774173e-01 2.736008e-01
8.000000e-01 2.645745e-01 2.612622e-01
8.200000e-01 2.520236e-01 2.491960e-01
8.400000e-01 2.397803e-01 2.374166e-01
8.600000e-01 2.278581e-01 2.259367e-01
8.800000e-01 2.162690e-01 2.147675e-01
9.000000e-01 2.050231e-01 2.039184e-01
9.200000e-01 1.941290e-01 1.933973e-01
9.400000e-01 1.835933e-01 1.832106e-01
9.600000e-01 1.734211e-01 1.733632e-01
9.800000e-01 1.636161e-01 1.638585e-01
1.000000e+00 1.541803e-01 1.546988e-01
1.020000e+00 1.451145e-01 1.458848e-01
1.040000e+00 1.364179e-01 1.374163e-01
1.060000e+00 1.280887e-01 1.292918e-01
1.080000e+00 1.201238e-01 1.215088e-01
1.100000e+00 1.125191e-01 1.140637e-01
1.120000e+00 1.052694e-01 1.069522e-01
1.140000e+00 9.836872e-02 1.001689e-01
1.160000e+00 9.181015e-02 9.370796e-02
1.180000e+00 8.558610e-02 8.756262e-02
1.200000e+00 7.968831e-02 8.172563e-02
1.220000e+00 7.410796e-02 7.618918e-02
1.240000e+00 6.883573e-02 7.094501e-02
1.260000e+00 6.386190e-02 6.598447e-02
1.280000e+00 5.917640e-02 6.129859e-02
1.300000e+00 5.476892e-02 5.687812e-02
1.320000e+00 5.062892e-02 5.271362e-02
1.340000e+00 4.674573e-02 4.879551e-02
1.360000e+00 4.310862e-02 4.511410e-02
1.380000e+00 3.970682e-02 4.165966e-02
1.400000e+00 3.652960e-02 3.842247e-02
1.420000e+00 3.356631e-02 3.539284e-02
1.440000e+00 3.080641e-02 3.256116e-02
1.460000e+00 2.823953e-02 2.991797e-02
1.480000e+00 2.585549e-02 2.745391e-02
1.500000e+00 2.364432e-02 2.515982e-02
1.520000e+00 2.159632e-02 2.302674e-02
1.540000e+00 1.970205e-02 2.104595e-02
1.560000e+00 1.795238e-02 1.920893e-02
1.580000e+00 1.633848e-02 1.750745e-02
1.600000e+00 1.485183e-02 1.593355e-02
1.620000e+00 1.348426e-02 1.447953e-02
1.640000e+00 1.222793e-02 1.313800e-02
1.660000e+00 1.107536e-02 1.190186e-02
1.680000e+00 1.001940e-02 1.076430e-02
1.700000e+00 9.053242e-03 9.718823e-03
1.720000e+00 8.170441e-03 8.759215e-03
1.740000e+00 7.364881e-03 7.879575e-03
1.760000e+00 6.630783e-03 7.074291e-03
1.780000e+00 5.962697e-03 6.338044e-03
1.800000e+00 5.355494e-03 5.665799e-03
1.820000e+00 4.804355e-03 5.052800e-03
1.840000e+00 4.304766e-03 4.494561e-03
1.860000e+00 3.852502e-03 3.986861e-03
1.880000e+00 3.443619e-03 3.525732e-03
1.900000e+00 3.074440e-03 3.107448e-03
1.920000e+00 2.741548e-03 2.728521e-03
1.940000e+00 2.441769e-03 2.385686e-03
1.960000e+00 2.172162e-03 2.075890e-03
1.980000e+00 1.930006e-03 1.796284e-03
2.000000e+00 1.712789e-03 1.712789e-03
